structure,learning_rate,epochs,activation_function,train_loss,train_accuracy,val_loss,val_accuracy
"[64, 32]",0.001,10,relu,0.03311455622315407,0.9897916913032532,0.1097506582736969,0.9703333377838135
"[64, 32]",0.001,10,sigmoid,0.34081074595451355,0.8961666822433472,0.3043469190597534,0.9069166779518127
"[64, 32]",0.001,25,relu,0.008553831838071346,0.9973333477973938,0.15878111124038696,0.9712499976158142
"[64, 32]",0.001,25,sigmoid,0.2574300169944763,0.9206666946411133,0.2337404042482376,0.9303333163261414
"[64, 32]",0.001,50,relu,0.0059355772100389,0.9982083439826965,0.1885901838541031,0.9706666469573975
"[64, 32]",0.001,50,sigmoid,0.22171612083911896,0.9320416450500488,0.21722137928009033,0.9361666440963745
"[64, 32]",0.0005,10,relu,0.03181171044707298,0.9908958077430725,0.11044993996620178,0.968916654586792
"[64, 32]",0.0005,10,sigmoid,0.29266560077667236,0.9100416898727417,0.26801273226737976,0.9196666479110718
"[64, 32]",0.0005,25,relu,0.0073705874383449554,0.9980208277702332,0.16656431555747986,0.9664166569709778
"[64, 32]",0.0005,25,sigmoid,0.2102624922990799,0.9367708563804626,0.2007739394903183,0.940583348274231
"[64, 32]",0.0005,50,relu,0.004766729194670916,0.9983958601951599,0.1756824105978012,0.9706666469573975
"[64, 32]",0.0005,50,sigmoid,0.16274836659431458,0.9515625238418579,0.1597350686788559,0.9514999985694885
"[64, 32]",0.0001,10,relu,0.09515851736068726,0.9740625023841858,0.12683479487895966,0.9643333554267883
"[64, 32]",0.0001,10,sigmoid,0.2530296742916107,0.9256041646003723,0.2533521354198456,0.924916684627533
"[64, 32]",0.0001,25,relu,0.016039183363318443,0.9980416893959045,0.1257609724998474,0.9679166674613953
"[64, 32]",0.0001,25,sigmoid,0.15687181055545807,0.9513333439826965,0.1745816469192505,0.9468333125114441
"[64, 32]",0.0001,50,relu,0.0009274502517655492,1.0,0.2293517291545868,0.9668333530426025
"[64, 32]",0.0001,50,sigmoid,0.09956755489110947,0.9693333506584167,0.15597429871559143,0.9551666378974915
"[32, 16]",0.001,10,relu,0.08033342659473419,0.9750833511352539,0.1292092502117157,0.9644166827201843
"[32, 16]",0.001,10,sigmoid,0.395070344209671,0.8797083497047424,0.34984880685806274,0.8951666951179504
"[32, 16]",0.001,25,relu,0.03058561682701111,0.9904583096504211,0.17483264207839966,0.9619166851043701
"[32, 16]",0.001,25,sigmoid,0.3282051384449005,0.9012291431427002,0.30562204122543335,0.9074166417121887
"[32, 16]",0.001,50,relu,0.01415729895234108,0.995229184627533,0.2533986270427704,0.9589166641235352
"[32, 16]",0.001,50,sigmoid,0.2807886004447937,0.9161249995231628,0.2810361385345459,0.9165833592414856
"[32, 16]",0.0005,10,relu,0.08316682279109955,0.9747708439826965,0.11478418856859207,0.9667500257492065
"[32, 16]",0.0005,10,sigmoid,0.31737783551216125,0.9071041941642761,0.3272705674171448,0.9045833349227905
"[32, 16]",0.0005,25,relu,0.032564677298069,0.9897916913032532,0.17312531173229218,0.9610000252723694
"[32, 16]",0.0005,25,sigmoid,0.2629314959049225,0.9221458435058594,0.23634761571884155,0.9320833086967468
"[32, 16]",0.0005,50,relu,0.00946479756385088,0.9976666569709778,0.25410881638526917,0.9570000171661377
"[32, 16]",0.0005,50,sigmoid,0.20585793256759644,0.9398541450500488,0.21021878719329834,0.9384166598320007
"[32, 16]",0.0001,10,relu,0.1813366711139679,0.9484583139419556,0.17141346633434296,0.9523333311080933
"[32, 16]",0.0001,10,sigmoid,0.3423922061920166,0.8988541960716248,0.33174753189086914,0.8984166383743286
"[32, 16]",0.0001,25,relu,0.08976420015096664,0.9750833511352539,0.15479670464992523,0.9564999938011169
"[32, 16]",0.0001,25,sigmoid,0.22948093712329865,0.9319375157356262,0.2561663091182709,0.9252499938011169
"[32, 16]",0.0001,50,relu,0.036188505589962006,0.9915624856948853,0.20126697421073914,0.9566666483879089
"[32, 16]",0.0001,50,sigmoid,0.17626668512821198,0.9470000267028809,0.2139265090227127,0.9393333196640015
"[64, 32, 16]",0.001,10,relu,0.04010557010769844,0.9871458411216736,0.11334770917892456,0.9679166674613953
"[64, 32, 16]",0.001,10,sigmoid,0.34395307302474976,0.8936458230018616,0.31095990538597107,0.9024166464805603
"[64, 32, 16]",0.001,25,relu,0.013519862666726112,0.9956250190734863,0.12484690546989441,0.9728333353996277
"[64, 32, 16]",0.001,25,sigmoid,0.29248887300491333,0.9098749756813049,0.2518226206302643,0.9204999804496765
"[64, 32, 16]",0.001,50,relu,0.007376533932983875,0.9976041913032532,0.18841826915740967,0.9704166650772095
"[64, 32, 16]",0.001,50,sigmoid,0.23202776908874512,0.9293749928474426,0.22873219847679138,0.9306666851043701
"[64, 32, 16]",0.0005,10,relu,0.041368041187524796,0.987583339214325,0.12209656089544296,0.9665833115577698
"[64, 32, 16]",0.0005,10,sigmoid,0.29404163360595703,0.9107499718666077,0.24773924052715302,0.9239166378974915
"[64, 32, 16]",0.0005,25,relu,0.010872411541640759,0.9966250061988831,0.14320261776447296,0.9729166626930237
"[64, 32, 16]",0.0005,25,sigmoid,0.2186729460954666,0.9317083358764648,0.20628757774829865,0.9383333325386047
"[64, 32, 16]",0.0005,50,relu,0.00308186374604702,0.9991458058357239,0.16813844442367554,0.9730833172798157
"[64, 32, 16]",0.0005,50,sigmoid,0.16357681155204773,0.9489583373069763,0.1741929054260254,0.9471666812896729
"[64, 32, 16]",0.0001,10,relu,0.11716672033071518,0.9686041474342346,0.13575752079486847,0.9591666460037231
"[64, 32, 16]",0.0001,10,sigmoid,0.2678125202655792,0.9196666479110718,0.2577875852584839,0.9228333234786987
"[64, 32, 16]",0.0001,25,relu,0.020828887820243835,0.996874988079071,0.14137262105941772,0.9631666541099548
"[64, 32, 16]",0.0001,25,sigmoid,0.16001053154468536,0.9525833129882812,0.17667968571186066,0.9469166398048401
"[64, 32, 16]",0.0001,50,relu,0.005419937893748283,0.9985208511352539,0.22943231463432312,0.9617499709129333
"[64, 32, 16]",0.0001,50,sigmoid,0.10929416865110397,0.9670624732971191,0.1593766212463379,0.9537500143051147
"[32, 16, 8]",0.001,10,relu,0.09382882714271545,0.971791684627533,0.1334121972322464,0.9605000019073486
"[32, 16, 8]",0.001,10,sigmoid,0.4040851294994354,0.8777291774749756,0.38152194023132324,0.8807500004768372
"[32, 16, 8]",0.001,25,relu,0.03333612158894539,0.9896875023841858,0.1820935606956482,0.9593333601951599
"[32, 16, 8]",0.001,25,sigmoid,0.35554105043411255,0.8970416784286499,0.3273424804210663,0.9021666646003723
"[32, 16, 8]",0.001,50,relu,0.017106253653764725,0.9942499995231628,0.2525680661201477,0.956250011920929
"[32, 16, 8]",0.001,50,sigmoid,0.2890610098838806,0.9149791598320007,0.2627434730529785,0.9241666793823242
"[32, 16, 8]",0.0005,10,relu,0.1048397496342659,0.968375027179718,0.13956691324710846,0.9599166512489319
"[32, 16, 8]",0.0005,10,sigmoid,0.3680664598941803,0.8928333520889282,0.3356002867221832,0.9006666541099548
"[32, 16, 8]",0.0005,25,relu,0.043519988656044006,0.9869583249092102,0.1863865703344345,0.9572499990463257
"[32, 16, 8]",0.0005,25,sigmoid,0.2899307310581207,0.9154375195503235,0.2584362328052521,0.9239166378974915
"[32, 16, 8]",0.0005,50,relu,0.01604149304330349,0.9950000047683716,0.2713606357574463,0.9568333625793457
"[32, 16, 8]",0.0005,50,sigmoid,0.22544677555561066,0.932895839214325,0.21272505819797516,0.9369166493415833
"[32, 16, 8]",0.0001,10,relu,0.2386089712381363,0.9341458082199097,0.21423479914665222,0.9401666522026062
"[32, 16, 8]",0.0001,10,sigmoid,0.3725370764732361,0.8928333520889282,0.3425990045070648,0.8987500071525574
"[32, 16, 8]",0.0001,25,relu,0.11358151584863663,0.9691874980926514,0.17622043192386627,0.9506666660308838
"[32, 16, 8]",0.0001,25,sigmoid,0.2609984278678894,0.9242083430290222,0.2633998692035675,0.925000011920929
"[32, 16, 8]",0.0001,50,relu,0.049522217363119125,0.9887499809265137,0.19777117669582367,0.9521666765213013
"[32, 16, 8]",0.0001,50,sigmoid,0.18734222650527954,0.9446041584014893,0.21264982223510742,0.9360833168029785
